,Title,Available Globally?,Release Date,Hours Viewed
0,The Night Agent: Season 1,Yes,2023-03-23,812.100.000
1,Ginny & Georgia: Season 2,Yes,2023-01-05,665.100.000
2,The Glory: Season 1 // _ ___: __ 1,Yes,2022-12-30,622.800.000
3,Wednesday: Season 1,Yes,2022-11-23,507.700.000
4,Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503.000.000
5,You: Season 4,Yes,2023-02-09,440.600.000
6,Outer Banks: Season 3,Yes,2023-02-23,402.500.000
7,Ginny & Georgia: Season 1,Yes,2021-02-24,302.100.000
8,FUBAR: Season 1,Yes,2023-05-25,266.200.000
9,Manifest: Season 4,Yes,2022-11-04,262.600.000
10,Kaleidoscope: Limited Series,Yes,2023-01-01,252.500.000
11,Firefly Lane: Season 2,Yes,2022-12-02,251.500.000
12,The Mother,Yes,2023-05-12,249.900.000
13,Physical: 100: Season 1 // ___: 100: __ 1,Yes,2023-01-24,235.000.000
14,Crash Course in Romance: Limited Series // __ ___: ____ ___,Yes,2023-01-14,234.800.000
15,Love Is Blind: Season 4,Yes,2023-03-24,229.700.000
16,BEEF: Season 1,Yes,2023-04-06,221.100.000
17,The Diplomat: Season 1,Yes,2023-04-20,214.100.000
18,Luther: The Fallen Sun,Yes,2023-03-10,209.700.000
19,Vikings: Valhalla: Season 2,Yes,2023-01-12,205.500.000
20,Extraction 2,Yes,2023-06-16,201.800.000
21,"XO, Kitty: Season 1",Yes,2023-05-18,200.700.000
22,Doctor Cha: Limited Series // __ ___: ____ ___,Yes,2023-04-15,194.700.000
23,Shadow and Bone: Season 2,Yes,2023-03-16,192.900.000
24,Outer Banks: Season 1,Yes,2020-04-15,184.000.000
25,Sweet Tooth: Season 2,Yes,2023-04-27,182.300.000
26,You People,Yes,2023-01-27,181.800.000
27,Perfect Match: Season 1,Yes,2023-02-14,176.800.000
28,Sex/Life: Season 2,Yes,2023-03-02,175.500.000
29,The Marked Heart: Season 2 // Plpito: Temporada 2,Yes,2023-04-19,174.300.000
30,Murder Mystery 2,Yes,2023-03-31,173.600.000
31,"Pablo Escobar, el patrn del mal: Season 1",Yes,,170.100.000
32,Never Have I Ever: Season 4,Yes,2023-06-08,168.300.000
33,Your Place or Mine,Yes,2023-02-10,163.000.000
34,Emily in Paris: Season 3,Yes,2022-12-21,161.100.000
35,Alice in Borderland: Season 2 // ________: ____2,Yes,2022-12-22,157.600.000
36,Alchemy of Souls: Part 1 // __: __ 1,Yes,2022-06-18,155.300.000
37,Outer Banks: Season 2,Yes,2021-07-30,153.900.000
38,Alchemy of Souls: Part 2 // __: __ 2,Yes,2022-12-10,150.200.000
39,The Good Bad Mother: Limited Series // ____: ____ ___,Yes,2023-04-26,148.600.000
40,The Recruit: Season 1,Yes,2022-12-16,146.900.000
41,Bloodhounds: Season 1 // ____: __ 1,Yes,2023-06-09,146.700.000
42,Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142.900.000
43,Black Mirror: Season 6,Yes,2023-06-15,139.900.000
44,Triptych: Season 1 // Trada: Temporada 1,Yes,2023-02-22,139.300.000
45,Bridgerton: Season 1,Yes,2020-12-25,136.600.000
46,Extraordinary Attorney Woo: Season 1 // ___ ___ ___: __ 1,Yes,2022-06-29,135.900.000
47,The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134.800.000
48,Stranger Things 4,Yes,2022-05-27,133.600.000
49,The Marked Heart: Season 1 // Plpito: Temporada 1,Yes,2022-04-20,133.500.000
50,Bridgerton: Season 2,Yes,2022-03-25,133.400.000
51,Little Angel: Volume 1,Yes,,132.100.000
52,Suits (2011): Season 1,Yes,,129.100.000
53,Sex/Life: Season 1,Yes,2021-06-25,126.400.000
54,We Have a Ghost,Yes,2023-02-24,124.400.000
55,You: Season 1,Yes,2018-12-26,123.500.000
56,Business Proposal: Season 1 // ____: __ 1,Yes,2022-02-28,120.700.000
57,The Pale Blue Eye,Yes,2023-01-06,120.500.000
58,Crash Landing on You: Season 1 // ___ ___: __ 1,Yes,2019-12-14,120.300.000
59,AKA,Yes,2023-04-28,120.000.000
60,MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118.900.000
61,Queenmaker: Season 1 // ____: __ 1,Yes,2023-04-14,118.600.000
62,Vikings: Valhalla: Season 1,Yes,2022-02-25,116.500.000
63,Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,115.800.000
64,Lockwood & Co.: Season 1,Yes,2023-01-27,113.600.000
65,You: Season 3,Yes,2021-10-15,107.200.000
66,Suits (2011): Season 2,Yes,,106.600.000
67,Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,104.600.000
68,Welcome to Eden: Season 2 // Bienvenidos a Edn: Temporada 2,Yes,2023-04-21,104.500.000
69,Love to Hate You: Season 1 // ____: __ 1,Yes,2023-02-10,99.900.000
70,Shadow and Bone: Season 1,Yes,2021-04-23,99.500.000
