Country,Total Library Size,Cost Per Month - Basic ($)
Mexico,4993,6.62
Honduras,4989,7.99
Guatemala,4767,7.99
Costa Rica,4988,8.99
Uruguay,4989,8.99
United States,5818,8.99
Canada,6239,7.91
Venezuela,4797,7.99
Argentina,4760,3.74
Peru,4986,6.11
Paraguay,4797,8.29
Chile,4994,7.07
Bolivia,4991,7.99
Brazil,4972,4.61
Colombia,4991,4.31
Ecuador,4992,7.99
Singapore,6303,9.51
Turkey,4639,1.97
Thailand,4948,8.34
Taiwan,5105,9.74
Hong Kong,4746,8.08
South Korea,5195,8.07
Malaysia,5952,8.29
Japan,5475,8.73
India,5843,2.64
Indonesia,3887,8.36
Israel,5713,10.56
Philippines,6362,7.35
Portugal,5047,9.03
Romania,5303,9.03
Russia,5711,8.13
Poland,5109,7.13
Czechia,7325,8.83
Ireland,6486,9.03
Estonia,6456,9.03
Spain,5229,9.03
United Kingdom,6643,7.91
Ukraine,5336,5.64
San Marino,2310,9.03
Austria,5640,9.03
Netherlands,5376,9.03
Norway,4528,9.94
Sweden,4361,10.9
Switzerland,5506,12.88
Denmark,4558,12
Bulgaria,6797,9.03
Finland,4045,9.03
Germany,5668,9.03
Gibraltar,6167,9.03
Greece,4772,9.03
Belgium,4990,10.16
Italy,5183,9.03
Slovakia,7035,9.03
Moldova,3937,9.03
Latvia,6450,9.03
Monaco,5804,9.03
Croatia,2274,9.03
Hungary,6884,7.64
Liechtenstein,3048,12.88
Iceland,6387,9.03
Lithuania,6462,9.03
France,5445,10.16
Australia,6114,7.84
New Zealand,6084,8.8
South Africa,5736,6.26
